# Curated Indian food core table — values per 100 g edible portion.
# Compiled against IFCT 2017 (NIN/ICMR) cooked-dish tables, NIN "Nutritive Value
# of Indian Foods", and USDA FoodData Central analogues for shared ingredients.
# Cooked mixed dishes vary by household; treat these as representative means.
# columns: name|hindi|category|region|diet|kcal|protein|carbs|fat|satfat|fiber|sugar|sodium|class|unit|grams|tags
#
# ---------------------------------------------------------------- BREADS
Roti|रोटी|North Indian|north|veg|297|11.0|59.0|1.7|0.4|10.0|0.8|180|grain|roti|40|staple,wheat,everyday
Chapati|चपाती|North Indian|north|veg|297|11.0|59.0|1.7|0.4|10.0|0.8|180|grain|chapati|40|staple,wheat,everyday
Phulka|फुल्का|North Indian|north|veg|290|10.8|58.5|1.4|0.3|10.2|0.7|150|grain|roti|30|staple,wheat,no-oil
Tandoori Roti|तंदूरी रोटी|Punjabi|north|veg|310|10.2|60.5|3.2|0.9|8.6|1.2|320|grain|roti|60|restaurant,wheat
Rumali Roti|रुमाली रोटी|North Indian|north|veg|305|9.4|61.0|2.8|0.7|4.2|1.4|340|grain|roti|55|restaurant,maida
Naan|नान|Punjabi|north|veg|320|9.0|55.0|7.0|2.4|2.4|4.5|420|grain|piece|90|restaurant,maida
Butter Naan|बटर नान|Punjabi|north|veg|360|8.8|53.0|12.5|6.2|2.3|4.4|450|grain|piece|95|restaurant,maida
Garlic Naan|गार्लिक नान|Punjabi|north|veg|340|9.2|54.0|9.8|4.0|2.6|4.2|460|grain|piece|95|restaurant,maida
Kulcha|कुलचा|Punjabi|north|veg|318|8.6|55.5|6.8|2.6|2.2|3.8|400|grain|piece|85|restaurant,maida
Amritsari Kulcha|अमृतसरी कुलचा|Punjabi|north|veg|352|8.2|52.0|12.4|5.8|3.1|3.2|480|grain|piece|120|restaurant,stuffed
Paratha|पराठा|North Indian|north|veg|360|8.2|50.0|14.0|5.0|6.0|1.2|300|grain|paratha|70|staple,wheat,ghee
Aloo Paratha|आलू पराठा|Punjabi|north|veg|280|6.4|41.0|9.8|3.6|4.4|1.6|360|grain|paratha|120|stuffed,potato
Gobi Paratha|गोभी पराठा|Punjabi|north|veg|262|7.0|36.5|9.6|3.4|5.2|2.1|350|grain|paratha|115|stuffed,cauliflower
Paneer Paratha|पनीर पराठा|Punjabi|north|veg|312|11.8|34.0|14.2|6.8|3.8|1.8|340|grain|paratha|120|stuffed,paneer
Mooli Paratha|मूली पराठा|Punjabi|north|veg|248|6.8|35.0|9.0|3.2|4.6|1.9|330|grain|paratha|115|stuffed,radish
Methi Paratha|मेथी पराठा|Gujarati|west|veg|286|8.4|42.0|9.8|3.4|6.4|1.4|320|grain|paratha|75|fenugreek
Lachha Paratha|लच्छा पराठा|Punjabi|north|veg|372|8.0|51.0|15.4|6.8|3.4|1.4|380|grain|paratha|80|restaurant,layered
Malabar Parotta|പൊറോട്ട|South Indian|south|veg|368|7.6|52.0|14.8|7.2|2.2|2.0|420|grain|paratha|90|kerala,maida
Puri|पूरी|North Indian|north|veg|420|7.8|48.0|22.0|8.0|4.2|1.1|240|fried|piece|25|fried,festival
Bhatura|भटूरा|Punjabi|north|veg|398|8.4|49.0|19.2|7.4|2.4|3.0|420|fried|piece|80|fried,maida
Luchi|লুচি|Bengali|east|veg|412|7.2|49.5|21.0|8.6|1.9|1.0|230|fried|piece|22|fried,maida
Bhakri|भाकरी|Maharashtrian|west|veg|338|8.4|66.0|3.4|0.7|9.6|1.2|160|grain|piece|60|millet,jowar
Jowar Roti|ज्वार रोटी|Maharashtrian|west|veg|330|8.6|68.0|2.6|0.5|9.8|1.0|140|grain|roti|50|millet,gluten-free
Bajra Roti|बाजरा रोटी|Rajasthani|north|veg|348|10.6|61.5|5.6|1.2|11.2|1.4|150|grain|roti|55|millet,winter
Ragi Roti|रागी रोटी|South Indian|south|veg|312|7.2|68.0|1.6|0.3|11.6|0.9|130|grain|roti|55|millet,calcium
Makki Ki Roti|मक्की की रोटी|Punjabi|north|veg|330|8.0|66.0|4.2|0.9|8.4|1.2|170|grain|roti|65|winter,maize
Thepla|થેપલા|Gujarati|west|veg|318|8.8|46.0|11.4|2.8|6.8|2.2|360|grain|piece|35|travel,fenugreek
Appam|അപ്പം|South Indian|south|veg|165|3.0|33.0|2.2|1.4|1.2|3.6|170|grain|piece|60|kerala,fermented
Idiyappam|ഇടിയപ്പം|South Indian|south|veg|168|3.2|36.0|0.6|0.2|1.4|0.3|120|grain|piece|60|kerala,rice
Pathiri|പത്തിരി|South Indian|south|veg|180|3.4|38.0|1.2|0.4|1.6|0.4|140|grain|piece|50|kerala,rice
# ---------------------------------------------------------------- RICE
Steamed Rice|चावल|North Indian|pan|veg|130|2.7|28.0|0.3|0.1|0.4|0.1|2|grain|bowl|150|staple,everyday
Brown Rice Cooked|ब्राउन चावल|Healthy Foods|pan|veg|123|2.6|25.6|1.0|0.2|1.8|0.3|4|grain|bowl|150|wholegrain
Jeera Rice|जीरा चावल|North Indian|north|veg|168|3.0|29.0|4.6|2.2|0.8|0.2|280|grain|bowl|160|everyday
Ghee Rice|நெய் சாதம்|South Indian|south|veg|196|3.2|29.5|7.2|4.4|0.9|0.6|300|grain|bowl|160|kerala,festival
Lemon Rice|எலுமிச்சை சாதம்|South Indian|south|veg|172|3.4|28.0|5.2|1.1|1.4|0.5|340|grain|bowl|180|tiffin,tamil
Curd Rice|தயிர் சாதம்|South Indian|south|veg|118|3.6|18.0|3.2|1.9|0.5|2.2|260|grain|bowl|200|tamil,cooling
Tamarind Rice|புளியோதரை|South Indian|south|veg|186|3.6|30.0|5.8|1.2|2.0|3.2|420|grain|bowl|180|temple,tamil
Tomato Rice|தக்காளி சாதம்|South Indian|south|veg|164|3.2|27.5|4.6|1.0|1.6|2.0|360|grain|bowl|180|tiffin
Coconut Rice|தேங்காய் சாதம்|South Indian|south|veg|198|3.4|28.0|8.4|6.2|2.2|1.6|320|grain|bowl|170|tamil
Bisi Bele Bath|ಬಿಸಿ ಬೇಳೆ ಬಾತ್|South Indian|south|veg|158|5.2|24.0|4.6|2.0|2.8|1.4|380|mixed|bowl|220|karnataka,onepot
Pulao|पुलाव|North Indian|north|veg|172|3.6|28.0|5.2|2.4|1.6|1.4|320|mixed|bowl|180|festival
Veg Biryani|वेज बिरयानी|North Indian|north|veg|186|4.2|29.0|6.0|2.8|1.8|1.6|400|mixed|plate|250|restaurant
Chicken Biryani|चिकन बिरयानी|North Indian|north|nonveg|212|9.8|25.5|8.2|3.4|1.2|1.4|480|mixed|plate|300|restaurant,hyderabadi
Mutton Biryani|मटन बिरयानी|North Indian|north|nonveg|238|10.4|24.0|11.4|4.8|1.1|1.3|500|mixed|plate|300|restaurant,hyderabadi
Egg Biryani|अंडा बिरयानी|North Indian|north|egg|196|7.4|26.0|7.0|2.6|1.3|1.4|440|mixed|plate|280|restaurant
Prawn Biryani|झींगा बिरयानी|Goan|west|nonveg|204|10.6|25.0|7.2|2.9|1.2|1.4|470|mixed|plate|280|coastal
Khichdi|खिचड़ी|North Indian|pan|veg|122|4.4|19.5|2.6|1.2|1.8|0.6|260|mixed|bowl|220|comfort,easy-digest
Dal Khichdi|दाल खिचड़ी|Maharashtrian|west|veg|134|5.0|20.5|3.4|1.6|2.2|0.8|300|mixed|bowl|220|comfort
Pongal|பொங்கல்|South Indian|south|veg|148|4.6|22.0|4.8|2.6|1.6|0.5|300|mixed|bowl|200|tiffin,breakfast
Vangi Bath|ವಾಂಗಿ ಬಾತ್|South Indian|south|veg|168|3.6|26.5|5.4|1.2|2.6|1.8|380|mixed|bowl|190|karnataka
Kashmiri Pulao|कश्मीरी पुलाव|Kashmiri|north|veg|196|4.0|31.0|6.4|2.6|1.8|5.4|300|mixed|bowl|180|festival,dryfruit
Fried Rice|फ्राइड राइस|Fast Food|pan|veg|168|3.4|27.0|5.0|1.0|1.4|1.2|420|mixed|bowl|200|indo-chinese
# ---------------------------------------------------------------- DALS & LEGUMES
Dal Tadka|दाल तड़का|North Indian|north|veg|118|5.6|13.0|4.8|2.0|3.2|1.0|320|legume|bowl|180|everyday
Dal Fry|दाल फ्राई|North Indian|north|veg|126|5.4|13.5|5.6|2.4|3.0|1.2|340|legume|bowl|180|restaurant
Dal Makhani|दाल मखनी|Punjabi|north|veg|168|6.2|14.0|9.4|5.6|4.4|1.6|360|legume|bowl|180|restaurant,creamy
Yellow Moong Dal|मूंग दाल|North Indian|pan|veg|105|6.0|14.5|2.4|1.0|2.6|0.8|280|legume|bowl|180|light,everyday
Toor Dal|तूर दाल|North Indian|pan|veg|112|5.8|14.0|3.2|1.4|3.0|0.9|300|legume|bowl|180|everyday
Masoor Dal|मसूर दाल|North Indian|pan|veg|108|6.4|13.6|2.6|1.1|3.4|0.8|290|legume|bowl|180|everyday
Chana Dal|चना दाल|North Indian|pan|veg|132|6.8|17.0|3.8|1.5|5.2|1.6|300|legume|bowl|180|everyday
Urad Dal|उड़द दाल|North Indian|north|veg|138|7.2|16.0|4.6|2.0|4.0|0.9|310|legume|bowl|180|punjabi
Panchmel Dal|पंचमेल दाल|Rajasthani|north|veg|142|7.0|17.5|4.8|1.8|5.0|1.2|330|legume|bowl|180|rajasthani
Sambar|சாம்பார்|South Indian|south|veg|84|3.8|11.0|2.8|0.7|2.8|2.0|340|legume|bowl|180|everyday,tamil
