# Ingredient reference table, per 100 g raw/as-purchased edible portion.
# Used by the recipe nutrition calculator (pipeline/recipes.py). Sources: IFCT 2017
# and USDA FoodData Central SR Legacy for shared commodities.
# name|kcal|protein|carbs|fat|satfat|fiber|sugar|sodium|potassium|calcium|iron|water_loss
atta|341|12.1|69.4|1.7|0.3|11.2|0.4|2|363|41|4.9|0.0
maida|364|10.3|76.3|1.0|0.2|2.7|0.3|2|107|15|4.6|0.0
rice raw|349|7.5|78.0|0.6|0.2|1.3|0.1|5|115|10|0.8|0.0
poha|346|6.6|77.3|1.2|0.3|2.6|0.4|8|180|20|2.8|0.0
suji|360|12.7|72.8|1.1|0.2|3.9|0.0|1|186|17|1.2|0.0
besan|387|22.4|57.8|6.7|0.7|10.8|10.8|64|846|45|4.9|0.0
urad dal|341|25.2|58.9|1.6|0.4|18.3|1.9|38|983|138|7.6|0.0
toor dal|343|22.3|57.6|1.7|0.4|15.5|2.0|17|1392|130|5.0|0.0
moong dal|347|24.5|59.0|1.2|0.3|16.3|3.0|15|1246|124|4.4|0.0
chana dal|360|20.8|60.6|5.3|0.5|12.4|3.0|64|718|56|5.3|0.0
masoor dal|343|25.1|60.1|1.1|0.2|10.7|2.0|6|955|56|7.5|0.0
kabuli chana|364|19.3|61.0|6.0|0.6|17.4|10.7|24|875|105|6.2|0.0
rajma|333|23.6|60.0|0.8|0.1|24.9|2.1|12|1406|143|8.2|0.0
potato|77|2.0|17.5|0.1|0.0|2.2|0.8|6|425|12|0.8|0.10
onion|40|1.1|9.3|0.1|0.0|1.7|4.2|4|146|23|0.2|0.35
tomato|18|0.9|3.9|0.2|0.0|1.2|2.6|5|237|10|0.3|0.30
green chili|40|1.9|8.8|0.4|0.0|1.5|5.1|7|340|18|1.2|0.20
ginger|80|1.8|17.8|0.8|0.2|2.0|1.7|13|415|16|0.6|0.15
garlic|149|6.4|33.1|0.5|0.1|2.1|1.0|17|401|181|1.7|0.15
coriander leaves|23|2.1|3.7|0.5|0.0|2.8|0.9|46|521|67|1.8|0.50
curry leaves|108|6.1|18.7|1.0|0.2|6.4|0.5|20|450|830|1.0|0.50
spinach|23|2.9|3.6|0.4|0.1|2.2|0.4|79|558|99|2.7|0.60
fenugreek leaves|49|4.4|6.0|0.9|0.2|1.1|0.9|76|770|395|1.9|0.55
cauliflower|25|1.9|5.0|0.3|0.1|2.0|1.9|30|299|22|0.4|0.20
cabbage|25|1.3|5.8|0.1|0.0|2.5|3.2|18|170|40|0.5|0.25
